"word","cefr_level","total_frequency"
"truth","A2","131995742"
"communication","A2","131867977"
"japan","A1","131797611"
"characteristics","B1","131724811"
"individual","B2","131583081"
"estimated","B2","131467238"
"try","A2","131298705"
"getting","A1","131285903"
"floor","A1","131274005"
"majority","B1","131257457"
"organizations","B1","131237329"
"approved","B1","131221315"
"essential","B1","131166921"
"concerning","B2","131125637"
"david","A1","130927758"
"budget","A2","130916871"
"half","A2","130792071"
"spring","A1","130739559"
"reduction","B1","130587597"
"proceedings","B1","130557000"
"northern","B1","130555104"
"highly","B1","130336780"
"object","B1","130274845"
"separate","A2","130267473"
"died","A2","130162576"
"worked","A1","130053605"
"cold","A1","129951451"
"papers","A1","129935985"
"providing","A2","129885582"
"grant","B1","129811738"
"offered","A2","129537276"
"indicated","A2","129532450"
"address","A1","129416063"
"serve","A2","129256707"
"color","A1","128979257"
"remain","A2","128714978"
"suggested","A2","128680586"
"powers","A2","128627255"
"wood","A2","128604141"
"regard","B2","128552619"
"rise","B1","128405340"
"amended","A2","128391941"
"bad","A1","128381841"
"letters","A1","128211568"
"growing","B2","127879142"
"personnel","B2","127830285"
"africa","A1","127800382"
"request","A2","127772395"
"located","B1","127685971"
"employee","B2","127668852"
"henry","A1","127494489"
"expression","A2","127395465"
"teaching","B1","127296728"
"reasonable","B1","127243391"
"step","A2","127189583"
"master","B2","127126721"
"middle","A2","127116638"
"responsible","B1","127082585"
"agent","A2","127002567"
"hall","A1","126970766"
"y","A1","126933653"
"appeared","A2","126891590"
"tried","A1","126804838"
"practical","B1","126593744"
"firm","B1","126506231"
"instance","B1","126482072"
"lead","B1","126340927"
"output","B2","126314833"
"ready","A1","126109795"
"pass","A2","126086449"
"principle","B1","126077233"
"commerce","B2","126038641"
"animals","A1","125990385"
"useful","A2","125895758"
"items","A1","125876826"
"matters","A1","125834874"
"relatively","B1","125727282"
"professional","A2","125488639"
"easily","A2","125435138"
"hear","A1","125386174"
"standard","B2","125332697"
"bed","A1","125227575"
"choice","A2","125211415"
"easy","A1","125208809"
"paragraph","A1","125206455"
"carry","A1","125196592"
"expenses","B1","125091730"
"event","A1","124992766"
"trying","A1","124958819"
"procedures","B2","124881033"
"served","A2","124823934"
"deep","B2","124819161"
"frequency","B1","124804900"
"responsibility","B1","124739998"
"assembly","B2","124703494"
"neither","B2","124702610"
"regular","A2","124652850"
"variety","B1","124452717"
"image","A2","124325346"
"blue","A1","124324870"
"dead","A2","124284487"
"contains","B1","124261401"
"teacher","A1","124221919"
"requires","B1","124178406"
"thinking","A1","124145403"
"legislation","B2","124075202"
"error","A2","123909554"
"agreed","A1","123800011"
"raised","A2","123773391"
"reaction","B2","123662662"
"net","A2","123381855"
"speed","A2","123295546"
"task","A2","123292433"
"drug","A2","123221287"
"appeal","B1","123063962"
"glass","A1","123020948"
"gone","A2","122984274"
"policies","B1","122921632"
"assessment","B2","122886236"
"mark","A2","122578565"
"treated","B1","122443383"
"containing","B1","122429192"
"successful","A1","122305104"
"ideas","A1","122079963"
"lack","A2","121995890"
"will","B2","121756838"
"names","A2","121728073"
"nuclear","B1","121700280"
"administrative","B2","121620704"
"arms","A2","121573614"
"top","A1","121568598"
"accepted","A2","121541701"
"obtain","B1","121532574"
"dollars","A1","121238709"
"entered","A2","121234412"
"move","A2","121217944"
"cut","A1","121206985"
"existence","B1","121141195"
"leading","B1","121128356"
"manager","A2","120809252"
"returned","A2","120786678"
"showing","A1","120535126"
"christian","B1","120470096"
"benefit","B1","120361791"
"film","A2","120345846"
"u","A1","120308808"
"create","A2","120268937"
"stop","A1","120184295"
"location","B1","120167294"
"holding","A1","120163299"
"sold","A1","120137515"
"orders","A1","120127465"
"banks","A1","120109218"
"miss","A1","119968849"
"better","A2","119897912"
"industries","B1","119690070"
"actions","A1","119591361"
"revenue","B2","119438765"
"models","A2","119438130"
"election","B1","119378274"
"introduced","A1","119291938"
"summary","A2","119271094"
"prevent","A2","119261096"
"fiscal","B2","119089586"
"thousand","A2","119047401"
"families","A1","118932497"
"picture","A1","118913914"
"urban","B2","118911162"
"changed","A1","118745624"
"soviet","B2","118659789"
"cities","A1","118564318"
"potential","B2","118453868"
"courts","A2","118434744"
"evaluation","B2","118380543"
"eastern","B1","118367102"
"compensation","B2","118356988"
"standing","A1","118311761"
"purchase","B2","118266878"
"square","A2","118034681"
"labour","A2","118019785"
"foundation","B1","117885282"
"remember","A1","117880125"
"myself","A2","117790462"
"above","B1","117399896"
"network","B1","117344681"
"investigation","B1","117097471"
"someone","A1","117062061"
"mental","B1","117056594"
"freedom","A2","117036479"
"sound","A2","117024478"
"closed","A1","117007858"
"whatever","A2","116983787"
"wrote","A1","116855618"
"support","B1","116723129"
"laboratory","B1","116696998"
"regulation","B1","116682901"
"chinese","A2","116527711"
"sum","A1","116476737"
"determination","B1","116418268"
"interesting","A1","116317511"
"rural","B2","116295744"
"completed","A2","116185333"
"ratio","A1","116166307"
"pattern","B1","116138321"
"taxes","B1","116018664"
"concept","B1","115913521"
"trees","A1","115871531"
"remains","B2","115695941"
"lands","A2","115606760"
"negative","A2","115553484"
"bar","A1","115516845"
"fuel","B1","115476730"
"publication","B2","115317851"
"hill","A1","115050795"
"completely","B1","115034210"
"expressed","A2","115006855"
"merely","B1","114905137"
"accounts","A2","114902594"
"developing","B2","114781913"
"experimental","A1","114599396"
"subjects","A1","114562974"
"eye","A1","114346019"
"w","A1","114327222"
"increases","A2","114286588"
"thereof","A1","114242456"
"classes","A1","114053708"
"improvement","B1","113951920"
"relief","B2","113830040"
"representative","B1","113787893"
"articles","A1","113751277"
"sun","A1","113466885"
"indicate","A2","113410385"
"fields","A1","113365226"
"mm","A1","113341003"
"intended","B1","113178165"
"animal","A1","113154199"
"re","A1","112900430"
"ohio","A1","112588332"
"faith","B2","112565233"
"feeling","A1","112557357"
"speak","A1","112550214"
"techniques","B1","112501584"
"european","A1","112447330"
"outside","A2","112444537"
"appointed","B1","112408736"
"secondary","B2","112273805"
"branch","A2","112232393"
"regarding","B1","112223238"
"mary","A1","112033963"
"forth","B1","112023534"
"decisions","B1","112019934"
"telephone","A1","111633383"
"bonds","B1","111607261"
"statistics","B2","111541904"
"previously","B2","111264540"
"maintain","B1","111234697"
"entirely","B1","111228301"
"girl","A1","111194054"
"contained","B1","111162319"
"gold","A2","111156206"
"details","A2","111136555"
"buildings","A1","111128826"
"frequently","B1","111119417"
"rock","A2","110968091"
"uses","A1","110951138"
"tree","A1","110945718"
"vice","B1","110763188"
"cause","A2","110745437"
"establish","A2","110695451"
"constitution","B1","110534204"
"milk","A1","110504594"
"represented","A2","110499819"
"performed","A2","110378846"
"cash","A2","110336092"
"early","A1","110289344"
"comparison","B1","110221453"
"foot","B1","110081128"
"aspects","B1","110074131"
"interested","A1","110073198"
"o","A1","110042293"
"living","B2","109958614"
"fourth","A1","109907477"
"coast","A2","109895213"
"boy","A1","109733517"
"somewhat","B2","109727522"
"husband","A1","109638527"
"share","A2","109634942"
"smaller","A1","109604298"
"german","A1","109600009"
"reduce","B1","109536044"
"copy","A1","109465193"
"resistance","B2","109387509"
"context","A2","109203351"
"moving","B2","109189721"
"running","A2","109171257"
"despite","B1","109053692"
"speech","A1","108956025"
"structures","A2","108909274"
"dry","A1","108730928"
"authorized","B2","108633079"
"removed","B1","108533677"
"granted","B1","108523281"
"ordinary","B1","108327976"
"concentration","B1","108151737"
"whereas","B2","108083214"
"quickly","A1","107978405"
"stood","A1","107766114"
"media","B2","107760096"
"percentage","B2","107647250"
"saying","A2","107496811"
"testing","A2","107301617"
"duties","B1","107274666"
"relating","B1","107118338"
"richard","A1","107025211"
"element","B1","107017103"
"herself","A2","107016139"
"railroad","B1","106998836"
"affected","B1","106980895"
"alternative","B1","106975489"
"assets","B1","106953373"
"popular","A2","106870033"
"hot","A1","106794332"
"traffic","A2","106675308"
"governor","B1","106639993"
"winter","A1","106624026"
"doubt","A2","106614328"
"opened","A1","106552547"
"steps","A1","106350568"
"pain","B1","106302459"
"processing","B1","106297859"
"examples","A1","106267257"
"convention","B2","106266698"
"game","A1","106132368"
"stone","A1","106039725"
"traditional","A2","106038215"
"circuit","B2","106030042"
"brother","A1","106028602"
"authorities","B1","105982492"
"owner","A1","105825354"
"storage","B1","105755631"
"assistant","B1","105641041"
"practices","A1","105591641"
"plate","A2","105462273"
"worth","B1","105362029"
"representatives","B1","105292985"
"setting","B1","105270846"
"ordered","A1","105259669"
"paris","A2","105251752"
"style","A2","105223444"
"definition","B1","105185508"
"living","A2","105034119"
"medium","B1","105030651"
"ones","A1","105024625"
"african","A2","104996429"
"learn","A1","104773617"
"iv","A1","104747237"
"latter","B2","104734189"
"conclusion","B1","104695058"
"village","A2","104574411"
"wrong","A1","104520805"
"damage","B1","104432723"
"measured","B1","104392185"
"causes","B1","104317314"
"radio","A1","104231678"
"slightly","B1","104213921"
"send","A2","104149540"
"absence","B1","104101822"
"permit","B1","104033196"
"help","A2","104023677"
"married","A2","104008427"
"thirty","A1","103985534"
"advanced","A2","103977336"
"valley","A2","103843224"
"limit","B1","103675367"
"loan","B2","103666171"
"transport","B1","103654191"
"occurred","B1","103631924"
"team","A1","103552845"
"begin","A1","103538073"
"enter","A2","103462356"
"tons","B2","103148430"
"memory","A1","103146096"
"respectively","B1","103069716"
"japanese","A2","102941357"
"remained","A2","102894789"
"components","B2","102817656"
"payments","B2","102640788"
"advantage","A2","102599790"
"clinical","A1","102419124"
"goes","A2","102410743"
"amounts","B1","102409305"
"second","A2","102317596"
"finding","B1","102059135"
"railway","B1","101853601"
"manufacturing","B2","101824315"
"spent","A1","101715746"
"avoid","A2","101710723"
"connected","B1","101691254"
"hair","A1","101677583"
"principal","A2","101520905"
"accordance","A1","101401412"
"royal","A2","101398167"
"pages","A1","101351587"
"sector","B2","101265698"
"represent","A2","101223124"
"fair","A1","101210295"
"waste","B1","101064163"
"jurisdiction","A1","100927961"
"conducted","B1","100782771"
"session","B1","100745219"
"britain","A1","100592174"
"experiments","B1","100581905"
"bottom","A1","100551686"
"selection","B1","100410678"
"opening","B1","100351601"
"yield","B2","100291920"
"extended","B1","100215746"
"attorney","A1","100157335"
"stress","B1","100015246"
"named","A2","99973129"
"guide","B1","99896640"
"occurs","B1","99885675"
"references","B2","99748840"
"hence","A1","99744357"
"argument","A2","99598115"
"religion","B1","99414219"
"medicine","A1","99375545"
"marked","B1","99372642"
"centre","A2","99346713"
"brown","A2","99288921"
"agents","A2","99253700"
"politics","B1","99187632"
"printed","A2","99052955"
"permanent","B1","98993748"
"drawn","A1","98958169"
"pacific","A2","98924358"
"cm","A1","98826411"
"broad","B1","98750803"
"debt","B1","98747544"
"please","B1","98740931"
"illinois","A1","98646767"
"employer","B2","98455214"
"lay","B1","98454739"
"race","B1","98424673"
"sex","B1","98321946"
"boston","A1","98293231"
"identified","B2","98288465"
"reserve","B1","98246767"
"sort","B1","98220418"
"specified","B2","98184450"
"stand","A2","98151417"
"marriage","B1","98119073"
"equation","B2","98040864"
"directed","A2","97867272"
"suggest","A2","97865310"
"indian","A1","97856993"
"highest","A1","97836675"
"van","B1","97742660"
"skin","B1","97669476"
"season","B1","97651292"
"mouth","A1","97639426"
"learned","A1","97633598"
"institution","B2","97623529"
"concern","A2","97622155"
"combination","B1","97551745"
"recognized","B1","97443576"
"ship","A1","97432188"
"visit","A1","97354983"
"resulting","A2","97325882"
"welfare","B2","97219724"
"rose","A1","97181830"
"accept","A2","97161766"
"statute","A1","97131397"
"exist","A2","97128957"
"attack","A2","97127891"
"very","B2","97119374"
"wish","A2","97039888"
"nine","A1","96931749"
"submitted","B2","96914237"
"subsequent","A1","96851317"
"failed","A2","96817599"
"houses","A1","96808555"
"leaders","A1","96715058"
"ca","A2","96646617"
"impossible","A2","96610216"
"extension","B2","96378319"
"gain","B1","96221760"
"samples","A2","96197932"
"virginia","A1","96165603"
"largely","B1","96118668"
"form","B1","96061543"
"port","B1","96060335"
"piece","A1","96037429"
"commissioner","B2","95991970"
"competition","A2","95882718"
"mexico","A1","95830655"
"charges","B1","95757635"
"supplies","B1","95652729"
"older","A1","95524114"
"official","A2","95451476"
"conflict","B1","95322885"
"greatest","A1","95303411"
"detailed","B2","95292683"
"studied","A1","95258535"
"st","A1","95195506"
"external","B2","95129752"
"engaged","B1","95127261"
"origin","B1","95094964"
"bit","A2","95064903"
"whole","B1","95018817"
"solid","B1","94983432"
"statements","A2","94787405"
"christ","A1","94619612"
"multiple","B2","94525273"
"controlled","A2","94503528"
"lived","A2","94449105"
"numerous","B1","94435678"
"vehicle","B1","94352757"
"evening","A1","94304090"
"substantial","B1","94292538"
"editor","A2","94200635"
"supported","A2","94172789"
"adequate","B2","94097414"
"preparation","B1","94087448"
"agree","A1","94069481"
"views","A2","93871326"
"jesus","A1","93860564"
"command","B1","93820230"
"recorded","A2","93789662"
"joint","B1","93767511"
"club","A1","93665331"
"efficiency","B1","93599945"
"hon","A1","93596964"
"native","A2","93403304"
"possibility","B1","93391068"
"republic","B1","93337181"
"happened","A1","93294505"
"sat","A1","93294224"
"documents","B1","93281466"
"scheme","B2","93268584"
"moral","B2","93257515"
"combined","B1","93114409"
"derived","B1","93111730"
"item","A1","93044608"
"contracts","B2","93030070"
"establishment","B1","92980015"
"deal","A2","92938607"
"usual","A2","92854510"
"contain","B1","92816456"
"citizens","A2","92780450"
"present","A1","92742715"
"thank","A1","92699107"
"anyone","A1","92638599"
"everyone","A1","92599535"
"corresponding","B2","92508188"
"composition","B1","92457198"
"rich","A1","92447107"
"daughter","A1","92401037"
"signal","B1","92336077"
"filled","A1","92310699"
"boys","A1","92195841"
"electrical","B1","92195443"
"counsel","A1","92123279"
"correct","A1","92082058"
"sites","A1","91999040"
"time","A2","91979308"
"overall","B2","91757997"
"lives","A1","91748374"
"apparently","A2","91728457"
"depth","B1","91621855"
"interpretation","B2","91577822"
"attempt","A2","91515416"
"collected","A1","91508596"
"officials","B1","91483139"
"explain","A2","91414264"
"chance","A2","91331264"
"brief","B1","91210010"
"entry","B1","91177683"
"kingdom","A2","91114589"
"improve","A2","91089508"
"file","A1","90996955"
"edge","B1","90910429"
"global","B1","90905832"
"injury","B1","90826433"
"consumption","B1","90824089"
"phone","A1","90806117"
"grand","B2","90722040"
"leaving","A2","90712769"
"bond","B1","90673306"
"immediate","B1","90527253"
"liability","A1","90397836"
"communities","B2","90322582"
"believed","A1","90266672"
"limits","B1","90235827"
"applicable","A1","90174262"
"bound","B1","90066662"
"profit","B2","89991526"
"mail","A1","89925053"
"contrast","A2","89874445"
"call","A1","89836628"
"relationships","B1","89713497"
"fast","A1","89618639"
"joseph","A1","89568395"
"relevant","B2","89565043"
"properly","B1","89559868"
"canadian","A2","89501493"
"generation","A2","89480746"
"positions","A2","89477176"
"objects","B1","89424098"
"zone","A2","89377176"
"inches","B1","89331668"
"map","A1","89170597"
"bridge","A1","89153944"
"laid","B1","89134354"
"appearance","A2","89118501"
"improved","B2","89073605"
"moreover","B1","89058162"
"peter","A1","89055116"
"largest","A1","88970919"
"edition","B1","88951596"
"excess","B1","88875195"
"experiment","B1","88816091"
"fall","B1","88785062"
"concrete","B2","88762602"
"detail","A2","88698030"
"reality","B1","88685578"
"bodies","A1","88653624"
"owned","A2","88592827"
"quantity","B1","88508560"
"layer","B1","88483644"
"proof","B1","88464615"
"assumed","B1","88450994"
"johnson","A1","88347616"
"gross","B2","88258773"
"patterns","B1","88236680"
"brain","A1","88217902"
"girls","A1","88202628"
"beautiful","A1","88179422"
"liquid","B1","88116072"
"australia","A1","87925114"
"passage","A2","87908164"
"affect","B1","87903304"
"human","B1","87852558"
"window","A1","87783439"
"lady","A1","87773591"
"suitable","A2","87732085"
"organized","A2","87609020"
"markets","A2","87596344"
"typical","B1","87554520"
"green","A1","87484531"
"territory","B2","87456177"
"reach","A2","87445681"
"meant","A2","87423025"
"testimony","B2","87414095"
"cancer","B1","87403206"
"supreme","A1","87275715"
"dependent","B1","87215903"
"mining","A2","87212619"
"estimates","B1","87210014"
"arts","A1","87195957"
"regions","B1","87169514"
"talk","A1","87166668"
"aircraft","B2","87163354"
"museum","A2","87106176"
"instruction","B1","87063843"
"fresh","A2","87060460"
"findings","B1","87049351"
"protein","A1","86976340"
"density","A1","86926830"
"outside","B2","86735689"
"mechanical","B1","86670174"
"proportion","B1","86663084"
"recommended","B1","86649000"
"engine","B1","86625147"
"fell","A2","86528051"
"understood","A2","86461198"
"salt","A2","86435699"
"finance","B2","86418468"
"exactly","A2","86412420"
"carrying","A1","86244823"
"marketing","B2","86170116"
"build","A1","86150960"
"channel","B1","86108311"
"divided","B2","86029095"
"primarily","B1","85947629"
"remaining","B2","85875939"
"skills","A1","85764960"
"speaking","A1","85700963"
"consumer","B1","85695609"
"carbon","B2","85689339"
"search","A2","85579805"
"silver","A2","85556920"
"document","B1","85552978"
"philosophy","B1","85539167"
"pounds","B1","85485428"
"shape","A2","85433868"
"background","A2","85336068"
"consists","A2","85188628"
"settlement","B1","85162125"
"pointed","A1","85123901"
"desire","B1","85121205"
"crime","A2","84941071"
"safe","A2","84919047"
"message","A1","84856792"
"communications","A2","84833820"
"cotton","B1","84825733"
"maintained","B1","84791120"
"explained","A2","84779230"
"marine","B1","84776729"
"ancient","A2","84707603"
"loans","B2","84697543"
"louis","A1","84689870"
"proved","B1","84668500"
"either","A1","84608050"
"charged","B1","84591683"
"wave","A2","84591477"
"delivery","B1","84570619"
"maybe","A1","84458375"
"ice","A1","84361372"
"tables","A1","84350526"
"ill","A2","84341220"
"farmers","A1","84310524"
"closely","B1","84300639"
"mission","B1","84294731"
"anti","B1","84293869"
"sugar","A1","84263532"
"hope","A1","84165765"
"aware","B1","84141528"
"youth","A2","84135697"
"adult","A2","84125830"
"excellent","A1","84100954"
"happy","A1","84075908"
"bay","A2","83997927"
"edward","A1","83938655"
"hope","B1","83860684"
"signed","A2","83740322"
"approval","B1","83718445"
"grade","A1","83609413"
"cambridge","A2","83483108"
"load","A2","83466788"
"sides","A1","83458128"
"monthly","B1","83288459"
"path","A2","83076002"
"continuous","B1","82931783"
"device","B1","82887382"
"kinds","A1","82763082"
"strategy","A2","82756054"
"rapid","B1","82642335"
"shares","A1","82639011"
"quarter","A1","82580795"
"minor","B1","82512110"
"technique","B1","82420051"
"t","A2","82408463"
"solutions","A2","82373181"
"fear","A2","82329718"
"opportunities","A2","82134467"
"exercise","A2","82109154"
"wind","A1","81983069"
"ensure","B1","81955467"
"s","A2","81942158"
"michigan","A2","81875040"
"arm","A1","81862870"
"offices","A1","81768118"
"english","A2","81751405"
"jury","B2","81739020"
"expect","A2","81735976"
"die","A2","81708649"
"emergency","A2","81697158"
"periods","A1","81683651"
"authors","A2","81654550"
"publications","B2","81645545"
"securities","B1","81610784"
"contribution","B1","81575371"
"component","B2","81569680"
"cooperation","B2","81488316"
"discharge","B2","81347016"
"highway","A2","81299563"
"represents","A2","81296286"
"protect","B1","81169382"
"participation","B2","81159526"
"birth","A1","81155369"
"wages","B2","81117561"
"classification","B2","81050370"
"difficulty","A2","80995848"
"result","B1","80990638"
"reform","B2","80986258"
"pennsylvania","A2","80880055"
"fundamental","B2","80865660"
"band","A1","80819269"
"changing","A1","80808414"
"expansion","B2","80786660"
"sciences","A1","80770537"
"fruit","A1","80739928"
"doctor","A1","80737751"
"buy","A1","80641431"
"observations","B1","80596375"
"electronic","B1","80557868"
"recovery","B1","80498878"
"walls","A1","80442436"
"assume","B1","80404337"
"leadership","B1","80171782"
"legislative","B2","80154009"
"acting","A2","80139407"
"prove","B1","80138075"
"carefully","A1","80113442"
"off","B1","80104856"
"corporate","B2","80102533"
"mainly","A2","79938793"
"stay","A1","79932290"
"sought","A2","79921233"
"apart","A2","79894996"
"conduct","B1","79837471"
"identity","B1","79806176"
"meetings","A1","79792484"
"horse","A1","79760317"
"machinery","A2","79760072"
"leader","A1","79748483"
"los","B1","79739579"
"block","A1","79714725"
"severe","B1","79688370"
"governments","A2","79627420"
"suggests","A2","79494324"
"indicates","A2","79444909"
"forced","B1","79436886"
"state","B2","79341320"
"schedule","A2","79326035"
"rapidly","B1","79284511"
"revolution","B2","79272038"
"sets","A1","79251741"
"top","B1","79225260"
"save","A1","79216030"
"grain","B2","79178275"
"fees","A2","79128886"
"perfect","A2","79126477"
"possibly","A2","79117512"
"calculated","B1","79105144"
"clerk","A2","79093227"
"talking","A2","79070928"
"membership","B1","79058542"
"career","B1","78965657"
"oxford","A2","78921127"
"sell","A1","78888512"
"pure","B1","78887306"
"apparent","B1","78844761"
"formal","B1","78811701"
"export","B2","78790427"
"petition","A2","78757997"
"battle","B1","78739119"
"mountain","A1","78690954"
"weather","A1","78660561"
"soul","B1","78646111"
"tools","A1","78569314"
"elected","B2","78554913"
"billion","B2","78289161"
"minute","A1","78279013"
"examined","B1","78271301"
"structural","A2","78230152"
"sand","B1","78204471"
"sexual","B2","78191942"
"arrived","A1","78191787"
"potential","B1","78190921"
"instrument","A2","78101596"
"measurements","B1","78099795"
"academic","B1","78055623"
"nevertheless","B1","77872214"
"americans","A1","77852591"
"bearing","B2","77841709"
"yellow","A1","77768838"
"around","A2","77764669"
"acres","A2","77726143"
"radiation","B1","77692810"
"engineers","A1","77624926"
"cars","A1","77576814"
"ministry","A2","77555800"
"crop","B1","77532641"
"determining","B1","77420360"
"stories","A1","77412464"
"award","A2","77324018"
"clause","B2","77280418"
"frank","A2","77227167"
"female","A2","77207674"
"possession","B1","77178981"
"show","A2","77092026"
"firms","B1","76857651"
"column","A2","76839956"
"extremely","A2","76834292"
"avenue","B1","76772482"
"ought","A2","76746582"
"height","B1","76703773"
"broken","A1","76647427"
"act","B1","76643109"
"plane","A1","76638738"
"suit","A2","76612298"
"expense","B1","76548719"
"fall","A2","76538692"
"therapy","B2","76513376"
"killed","A1","76467309"
"mechanism","A2","76423604"
"hotel","A1","76390464"
"specifically","B2","76330152"
"michael","A2","76273159"
"wage","B2","76261981"
"extensive","B2","76259130"
"cycle","B1","76245421"
"all","A2","76239232"
"perform","A2","76153834"
"attached","B2","76142247"
"obvious","B1","76134487"
"engineer","A1","76103941"
"copper","B2","76099511"
"receiving","A2","76049573"
"criminal","B2","75977615"
"sheet","B1","75935038"
"proposal","B1","75902984"
"philadelphia","A2","75896545"
"admitted","A2","75857317"
"garden","A1","75843376"
"soft","A2","75820831"
"suddenly","B1","75789533"
"chamber","A2","75733254"
"user","B2","75663685"
"diseases","B1","75649047"
"regarded","B1","75535969"
"listed","A2","75513832"
"usa","A2","75483137"
"cents","A2","75467318"
"measurement","B1","75422734"
"vessels","B1","75410271"
"recognition","B2","75355102"
"superior","B1","75305875"
"goal","A1","75191868"
"mixed","B1","75165514"
"thin","A1","75104465"
"inspection","B1","74984283"
"attitude","A2","74978340"
"slowly","A2","74909611"
"captain","A2","74902298"
"producing","A2","74885639"
"treaty","B2","74883197"
"chair","A1","74876781"
"powerful","A2","74827314"
"consistent","B2","74818753"
"identify","B2","74813537"
"feature","A2","74789292"
"certificate","B2","74788508"
"conservation","B1","74690607"
"contributions","B1","74665387"
"courses","A1","74626086"
"knows","A1","74623821"
"stations","A1","74578263"
"input","B2","74545448"
"spanish","B1","74542050"
"scene","A2","74498255"
"greatly","A2","74479328"
"target","A2","74465744"
"democratic","B1","74424477"
"sentence","A1","74298504"
"trouble","A2","74293957"
"emphasis","B1","74242780"
"representation","A2","74208295"
"directors","A2","74205102"
"assigned","B1","74128013"
"red","A2","74124882"
"indian","A2","74122181"
"keeping","A1","74068047"
"played","A1","74041201"
"necessarily","B2","73981115"
"senior","A2","73946161"
"requirement","B1","73893791"
"capable","B1","73883130"
"o","A2","73877798"
"core","B2","73866906"
"deposits","B1","73846887"
"yourself","A1","73836577"
"inside","A1","73797352"
"version","B2","73795549"
"round","B1","73781097"
"tube","A1","73741022"
"television","A1","73724595"
"decrease","B1","73677140"
"advertising","A2","73572728"
"equally","B1","73491810"
"chief","B1","73453716"
"drugs","A2","73444401"
"fifty","A1","73439290"
"cover","A2","73436503"
"double","A2","73426875"
"release","A2","73398474"
"uniform","A2","73375267"
"clean","A1","73352401"
"operate","A2","73351265"
"store","A1","73210280"
"present","B2","73178015"
"italy","A2","73141012"
"mode","A2","73090586"
"ends","A1","73084486"
"reader","A1","73017428"
"explanation","A2","73008878"
"speaker","A2","72932641"
"islands","A1","72927617"
"tissue","B1","72783338"
"drawing","A2","72762821"
"secure","B1","72702829"
"being","A2","72695602"
"consent","B2","72687222"
"valuable","B1","72671914"
"acquired","B1","72641324"
"scope","B1","72640468"
"fee","A2","72622935"
"interior","B2","72621106"
"jobs","A1","72619653"
"calls","A1","72607631"
"chosen","A1","72580020"
"districts","B1","72567293"
"significance","B1","72554500"
"exposure","A2","72538385"
"criteria","B1","72467801"
"variables","A2","72422317"
"achieved","A2","72417120"
"seek","A2","72412963"
"carrier","A1","72388204"
"accounting","A2","72370461"
"revised","B1","72349316"
"contents","B1","72317820"
"ray","A2","72312421"
"becoming","A1","72238173"
"extra","A2","72190144"
"creation","B2","72179939"
"stopped","A1","72167059"
"fifth","B1","72126386"
"grown","A1","72110236"
"card","A1","72082330"
"green","A2","72054175"
"mine","B2","72044476"
"depends","A2","72027623"
"dealing","A2","72004499"
"describe","A1","71981805"
"camp","A1","71965560"
"plus","B1","71959459"
"resource","B1","71922734"
"lies","A2","71798175"
"variation","B2","71744808"
"diameter","B1","71735918"
"exists","A2","71685020"
"campaign","B2","71670601"
"difficulties","A2","71607005"
"passing","A2","71600672"
"inner","A2","71589873"
"sister","A1","71557026"
"vision","B1","71543477"
"martin","A2","71527651"
"involving","B1","71507451"
"danger","A2","71467352"
"waters","A2","71462492"
"starting","A1","71448573"
"israel","A2","71433771"
"steam","B1","71259993"
"achieve","A2","71251159"
"delivered","B1","71120871"
"facility","B1","71075447"
"enemy","B1","71069387"
"unable","B1","71044121"
"exception","B2","70988214"
"discuss","A1","70987935"
"software","A2","70980737"
"interaction","B1","70937836"
"navy","B2","70914217"
"unique","B1","70852371"
"advance","B2","70844401"
"writer","A1","70833817"
"wild","A2","70806478"
"tradition","A2","70806458"
"fluid","B2","70796489"
"via","B1","70701096"
"savings","B2","70697577"
"cast","B2","70564061"
"walk","A1","70516941"
"efficient","B1","70322518"
"discovered","A2","70308568"
"advice","A2","70266170"
"cover","A1","70263746"
"re","A2","70245595"
"till","A2","70226816"
"offers","A2","70218795"
"fairly","A2","70161933"
"curve","B1","70147487"
"accident","A2","70069332"
"waiting","A2","70064567"
"instruments","A2","69990841"
"denied","B1","69932757"
"angle","B1","69899727"
"economics","B1","69882374"
"refer","A2","69878561"
"concerns","B1","69876765"
"remove","B1","69876673"
"demands","B1","69837002"
"significantly","B2","69828791"
"devices","B1","69818729"
"pre","A2","69751997"
"distributed","B1","69719863"
"printing","A2","69714879"
"organic","B1","69703269"
"expenditure","A2","69631461"
"seed","A2","69625861"
"comments","B1","69596356"
"strongly","A2","69579097"
"choose","A1","69576518"
"grounds","A1","69547560"
"appendix","A2","69529938"
"sign","A1","69499053"
"russia","A2","69496808"
"temporary","B1","69496435"
"sequence","B1","69482805"
"route","B2","69469882"
"implementation","A2","69375817"
"experienced","B1","69355221"
"identification","B2","69350092"
"copies","A1","69347354"
"category","B1","69301371"
"signs","A2","69296054"
"flight","A2","69255255"
"necessity","B2","69192127"
"prime","B2","69149646"
"declared","B1","69145531"
"substance","B2","69125255"
"losses","B1","69113908"
"experiences","A2","69106130"
"dated","B2","69105827"
"currently","B1","69075655"
"violence","B1","69069675"
"removal","A2","69051039"
"hardly","A2","68933554"
"suppose","B1","68830046"
"opposite","A2","68782876"
"walked","A1","68767224"
"desired","B1","68766679"
"distinct","A2","68637483"
"spoke","A1","68636355"
"boundary","B1","68621486"
"favor","A2","68554529"
"carolina","A2","68478542"
